position	name	atac	k27ac	k4me1	k4me3
chr13:9641456-9641816	g-n25-1	TRUE	TRUE	TRUE	FALSE
chr13:9657365-9657930	g-n25-2	TRUE	TRUE	TRUE	FALSE
chr13:9659218-9659578	g-n25-3	TRUE	TRUE	TRUE	FALSE
chr13:9667503-9668017	g-n25-4	TRUE	TRUE	TRUE	TRUE
chr13:9672237-9672854	g-n25-5	TRUE	TRUE	TRUE	FALSE
chr13:9699821-9700284	g-n25-6	TRUE	TRUE	TRUE	FALSE
chr13:9702035-9702445	g-n25-7	TRUE	TRUE	TRUE	FALSE
chr13:9709935-9710398	g-n25-8	TRUE	TRUE	TRUE	FALSE
chr13:9713243-9713655	g-n25-9	TRUE	TRUE	TRUE	FALSE
chr13:9714627-9715038	g-n25-10	TRUE	TRUE	TRUE	FALSE
chr13:9726943-9727457	g-n25-11	TRUE	TRUE	TRUE	FALSE
chr13:9729562-9729973	g-n25-12	TRUE	TRUE	TRUE	FALSE
chr13:9731880-9732240	g-n25-13	TRUE	TRUE	TRUE	FALSE
chr13:9733941-9734301	g-n25-14	TRUE	TRUE	TRUE	FALSE
chr13:9741145-9741608	g-n25-15	TRUE	TRUE	TRUE	FALSE
chr13:9745526-9745936	g-n25-16	TRUE	TRUE	TRUE	FALSE
chr13:9748717-9749385	g-n25-17	TRUE	TRUE	TRUE	TRUE
chr13:9748665-9749385	g-n25-18	TRUE	TRUE	TRUE	TRUE
chr13:9751238-9751855	g-n25-19	TRUE	TRUE	TRUE	TRUE
chr13:9758650-9759215	g-n25-20	TRUE	TRUE	TRUE	FALSE
chr13:9759936-9760501	g-n25-21	TRUE	TRUE	TRUE	FALSE
chr13:9764362-9764979	g-n25-22	TRUE	TRUE	TRUE	FALSE
chr13:9767450-9767964	g-n25-23	TRUE	TRUE	TRUE	FALSE
chr13:9772031-9772545	g-n25-24	TRUE	TRUE	TRUE	TRUE
chr13:9797250-9797866	g-n25-25	TRUE	TRUE	FALSE	TRUE
chr13:9808212-9808725	g-n25-26	TRUE	TRUE	TRUE	FALSE
chr13:9815983-9816497	g-n25-27	TRUE	TRUE	TRUE	FALSE
chr13:9822828-9823393	g-n25-28	TRUE	TRUE	TRUE	FALSE
chr13:9856230-9856743	g-n25-29	TRUE	TRUE	TRUE	TRUE
chr13:9861452-9862404	g-n25-30	TRUE	TRUE	TRUE	TRUE
chr13:9866043-9866691	g-n25-31	TRUE	TRUE	TRUE	FALSE
chr13:9873189-9873664	g-n25-32	TRUE	TRUE	TRUE	TRUE
chr13:9897008-9897570	g-n25-33	TRUE	TRUE	TRUE	TRUE
chr13:9905973-9906578	g-n25-34	TRUE	TRUE	TRUE	FALSE
chr13:9923599-9924074	g-n25-35	TRUE	TRUE	FALSE	TRUE
chr13:9937241-9937803	g-n25-36	TRUE	TRUE	TRUE	TRUE
chr13:9940012-9940574	g-n25-37	TRUE	TRUE	TRUE	FALSE
chr13:9943304-9943866	g-n25-38	TRUE	TRUE	TRUE	FALSE
chr13:9956556-9957248	g-n25-39	TRUE	TRUE	TRUE	TRUE
chr13:10061381-10062084	g-n25-40	TRUE	TRUE	FALSE	TRUE
