position	name	atac	k27ac	k4me1	k4me3
chr8:56294433-56294954	m-hd2-1	TRUE	TRUE	FALSE	TRUE
chr8:56551031-56551656	m-hd2-2	TRUE	TRUE	FALSE	TRUE
chr8:56619929-56620450	m-hd2-3	TRUE	TRUE	TRUE	TRUE
chr8:56622613-56623062	m-hd2-4	TRUE	TRUE	FALSE	TRUE
chr8:56833099-56833515	m-hd2-5	TRUE	TRUE	TRUE	FALSE
chr8:56883416-56883832	m-hd2-6	TRUE	TRUE	TRUE	FALSE
chr8:56893437-56893906	m-hd2-7	TRUE	TRUE	TRUE	FALSE
chr8:56915151-56915672	m-hd2-8	TRUE	FALSE	TRUE	FALSE
chr8:56924703-56925068	m-hd2-9	FALSE	FALSE	FALSE	FALSE
chr8:56927104-56927521	m-hd2-10	TRUE	FALSE	TRUE	FALSE
chr8:56932272-56932845	m-hd2-11	TRUE	TRUE	FALSE	TRUE
chr8:57013593-57014009	m-hd2-12	TRUE	TRUE	TRUE	FALSE
chr8:57111200-57111669	m-hd2-13	TRUE	TRUE	TRUE	FALSE
chr8:57248946-57249362	m-hd2-14	TRUE	TRUE	TRUE	FALSE
chr8:57312607-57313076	m-hd2-15	TRUE	TRUE	FALSE	TRUE
chr8:57313951-57314417	m-hd2-16	TRUE	TRUE	TRUE	FALSE
chr8:57320664-57321133	m-hd2-17	TRUE	TRUE	FALSE	TRUE
chr8:57328441-57328962	m-hd2-18	TRUE	TRUE	FALSE	TRUE
chr8:57331834-57332459	m-hd2-19	TRUE	TRUE	FALSE	TRUE
chr8:57333870-57334130	m-hd2-20	TRUE	TRUE	FALSE	TRUE
chr8:57341003-57341437	m-hd2-21	TRUE	TRUE	FALSE	TRUE
chr8:57348808-57349248	m-hd2-22	TRUE	TRUE	FALSE	TRUE
chr8:57353809-57354226	m-hd2-23	TRUE	TRUE	FALSE	TRUE
chr8:57360932-57361434	m-hd2-24	TRUE	TRUE	TRUE	FALSE
chr8:57401360-57402246	m-hd2-25	TRUE	TRUE	TRUE	FALSE
chr8:57410382-57410802	m-hd2-26	TRUE	TRUE	FALSE	TRUE
chr8:57468589-57469214	m-hd2-27	TRUE	TRUE	TRUE	TRUE
chr8:57487588-57488109	m-hd2-28	TRUE	TRUE	FALSE	TRUE
chr8:57511546-57512015	m-hd2-29	TRUE	TRUE	FALSE	TRUE
chr8:57530650-57531066	m-hd2-30	TRUE	TRUE	TRUE	TRUE
chr8:57576113-57576686	m-hd2-31	TRUE	TRUE	TRUE	FALSE
chr8:57601805-57602537	m-hd2-32	TRUE	TRUE	TRUE	FALSE
chr8:57652007-57652528	m-hd2-33	TRUE	TRUE	FALSE	TRUE
chr8:57317761-57318264	m-hd2-p1	TRUE	TRUE	TRUE	TRUE
