position	name	atac	k27ac	k4me1	k4me3
chr4:43216822-43217440	hd2-g-1	TRUE	TRUE	TRUE	TRUE
chr4:43229243-43229730	hd2-g-2	TRUE	TRUE	TRUE	FALSE
chr4:43258556-43259088	hd2-g-3	TRUE	FALSE	TRUE	FALSE
chr4:43292348-43292924	hd2-g-4	TRUE	TRUE	FALSE	TRUE
chr4:43304056-43304764	hd2-g-5	TRUE	TRUE	FALSE	TRUE
chr4:43334789-43335364	hd2-g-6	TRUE	TRUE	TRUE	FALSE
chr4:43355898-43356473	hd2-g-7	TRUE	TRUE	TRUE	FALSE
chr4:43368758-43369200	hd2-g-8	TRUE	TRUE	TRUE	FALSE
chr4:43369955-43370309	hd2-g-9	TRUE	TRUE	TRUE	TRUE
chr4:43373436-43374012	hd2-g-10	TRUE	TRUE	TRUE	FALSE
chr4:43378137-43378846	hd2-g-11	TRUE	TRUE	FALSE	TRUE
chr4:43380754-43381329	hd2-g-12	TRUE	TRUE	TRUE	FALSE
chr4:43382572-43383236	hd2-g-13	TRUE	TRUE	FALSE	TRUE
chr4:43385410-43385985	hd2-g-14	TRUE	TRUE	FALSE	TRUE
chr4:43391530-43392194	hd2-g-15	TRUE	TRUE	TRUE	FALSE
chr4:43394546-43395165	hd2-g-16	TRUE	FALSE	TRUE	FALSE
chr4:43454990-43455565	hd2-g-17	TRUE	TRUE	TRUE	FALSE
chr4:43504260-43504835	hd2-g-18	TRUE	TRUE	TRUE	FALSE
chr4:43537298-43538051	hd2-g-19	TRUE	TRUE	TRUE	FALSE
chr4:43546167-43546965	hd2-g-20	TRUE	TRUE	TRUE	FALSE
chr4:43557254-43557874	hd2-g-21	TRUE	TRUE	TRUE	FALSE
chr4:43577431-43578273	hd2-g-22	TRUE	TRUE	TRUE	FALSE
chr4:43667543-43668119	hd2-g-23	TRUE	TRUE	FALSE	TRUE
chr4:43669184-43669627	hd2-g-24	TRUE	TRUE	TRUE	TRUE
chr4:43696635-43697255	hd2-g-25	TRUE	TRUE	FALSE	TRUE
chr4:43785022-43786053	hd2-g-26	TRUE	TRUE	FALSE	FALSE
